epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
87;0.270303875207901;0.9057966;0.681643111862166;0.9090174046855214;0.6157709693621296;0.9127801;0.8081633;0.98518986;0.39859083;0.8836127;0.5349186560569027;0.8538523218978248;0.2949577867984772;0.5045871559633027;0.90036535;0.6445498;0.9730797;0.3119266
88;0.27348649501800537;0.9044343;0.6772645552563563;0.9085924350407791;0.6149974836436839;0.914592;0.7744361;0.9810934;0.41469553;0.88640594;0.5373923192159012;0.8515118185949406;0.28740838170051575;0.509090909090909;0.90604025;0.6446281;0.96913135;0.35779816
89;0.26660263538360596;0.90872556;0.6943426197215586;0.9127047963963653;0.6285858077503774;0.922019;0.76322216;0.97707576;0.47206846;0.8836127;0.5410075375124881;0.8552600815348039;0.2863871455192566;0.5091743119266054;0.9085056;0.61254615;0.96231157;0.38073394
90;0.26797953248023987;0.9031401;0.6898441785733174;0.91282107925559;0.623807132094425;0.9082283;0.82285714;0.9877895;0.36235532;0.88764745;0.5423401439392057;0.8538021035715933;0.291242778301239;0.4954128440366973;0.89842206;0.70555556;0.9809763;0.2912844
91;0.2665331959724426;0.90702266;0.6922126000162712;0.912711139818621;0.626572722697534;0.9159263;0.7928437;0.982669;0.4237544;0.8867163;0.5437315197113287;0.8513158847975131;0.28838345408439636;0.5091743119266054;0.9041736;0.6563877;0.97200286;0.3417431
92;0.26754146814346313;0.9078401;0.6931750283439574;0.914204579649556;0.6194067370537959;0.92087877;0.7624172;0.9773909;0.46351284;0.8851645;0.5431625926004293;0.8513850379024875;0.2887619435787201;0.5045871559633027;0.90866035;0.62406015;0.96410626;0.38073394
93;0.26833924651145935;0.9064096;0.6921991163147981;0.9119329406702094;0.6277665995975855;0.9136217;0.8074223;0.9848747;0.40513337;0.88392305;0.5376088643776885;0.8511808715925632;0.29041382670402527;0.5045871559633027;0.90066445;0.6462264;0.9730797;0.3142202
94;0.26949506998062134;0.90818065;0.6911937741009823;0.9113776533445019;0.6240563663814797;0.9168871;0.7977633;0.9829053;0.4308002;0.88485414;0.5472081395214817;0.8551876354248307;0.28815358877182007;0.5068807339449541;0.9045226;0.6371308;0.96913135;0.34633029
95;0.2670842409133911;0.90613717;0.6868877302749768;0.9111577744705641;0.6180171112229492;0.91578484;0.7837838;0.98172367;0.42325112;0.88268155;0.5383074879194849;0.8540638974689964;0.28860577940940857;0.5056689342403629;0.90348524;0.62184876;0.9676956;0.33944955
96;0.26695382595062256;0.90634155;0.6969568473936171;0.9144615477204951;0.6282696177062375;0.9139785;0.8029703;0.9843233;0.408153;0.887337;0.546511294049966;0.8551785796610839;0.28376275300979614;0.518348623853211;0.90369874;0.6651584;0.9734386;0.33715597
97;0.26746270060539246;0.903072;0.6912707855630507;0.9134985567524977;0.6300956215400101;0.9079852;0.8248848;0.98802584;0.36034223;0.89013034;0.5424882124719402;0.849400179139472;0.29415273666381836;0.5091324200913242;0.8994744;0.7303371;0.982771;0.29816514
